year,ADM1_NAME,ADM2_NAME,Stability Zone,Area_Sleikh,Area_Under_Trees,Area_Total,Production,Yield_kg_ha,Area_Rainfed,Production_Rainfed,Yield_Rainfed_kg_ha,Total_Production,Shape_Area,Shape_Leng,annual_rain_mm,aridity_index,aspect_deg,bulk_dens,cec_cmol_kg,clay_pct,cropland,elevation_m,et_mm,gdd_annual,grassland,gwt_depth_m,max_temp_c,mean_temp_c,min_temp_c,moisture_pct,ndvi_peak,ndvi_std,pet_mm,ph,ph_quality,rain_cv_pct,rainy_days,rainy_rain_mm,sand_pct,silt_pct,slope_deg,soc_g_kg,thermal_suit,water_occurrence,id,frost_days
2004,Homs,Tall_Kalakh,1,2909.0,0,2909.0,9076.0,3120.0,3231.0,4581.0,1417.0,13657.0,0.061265386,1.382119937,1763.371248,48.6760063,213.4968276,1.371293035,28.50363662,371.8628808,1.0,462.9664108,693.8983642,12168.11012,1.0,86.9397267,25.74826823,16.90015294,7.249091974,19.19852908,0.646014747,0.116854407,3621.67035,7.036198454,98.79338486,102.8467833,99.11400291,758.9369258,256.0800903,370.1287946,2.899572474,38.32373734,96.57230253,63.89144317,2353,
2004,Hama,Hama,2,70.0,0,70.0,0.0,0.0,20.0,0.0,0.0,0.0,0.227677668,4.733216797,854.2153212,24.39982953,192.7904067,1.455316559,28.89107986,399.9433813,1.0,367.8882638,472.4507038,12784.69935,1.0,25.04294796,28.15932693,17.75652687,6.176370229,13.48218522,0.513190554,0.104672225,3499.906923,7.530149647,82.32834509,100.6526403,91.74939391,394.5803469,199.991121,385.7041579,0.890006436,18.48653952,98.53413217,22.43352601,2345,
2004,Hama,Hama,3,315.0,0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227677668,4.733216797,854.2153212,24.39982953,192.7904067,1.455316559,28.89107986,399.9433813,1.0,367.8882638,472.4507038,12784.69935,1.0,25.04294796,28.15932693,17.75652687,6.176370229,13.48218522,0.513190554,0.104672225,3499.906923,7.530149647,82.32834509,100.6526403,91.74939391,394.5803469,199.991121,385.7041579,0.890006436,18.48653952,98.53413217,22.43352601,2345,
2004,Hama,Hama,4,381.0,0,381.0,1959.0,5141.732283,0.0,0.0,0.0,1959.0,0.227677668,4.733216797,854.2153212,24.39982953,192.7904067,1.455316559,28.89107986,399.9433813,1.0,367.8882638,472.4507038,12784.69935,1.0,25.04294796,28.15932693,17.75652687,6.176370229,13.48218522,0.513190554,0.104672225,3499.906923,7.530149647,82.32834509,100.6526403,91.74939391,394.5803469,199.991121,385.7041579,0.890006436,18.48653952,98.53413217,22.43352601,2345,
2004,Hama,Al_Ghab,1,4784.0,0,4784.0,22628.0,4729.93311,127.0,0.0,0.0,22628.0,0.049595436,1.643165164,1619.44551,48.79831691,139.7759455,1.347860465,28.59829587,349.5799349,1.0,352.189296,956.2618512,11850.64189,1.0,139.7020723,26.11561902,16.45922485,6.155916022,28.75971485,0.667755042,0.109289703,3317.650339,6.782044179,92.73480597,102.7148366,107.8420566,687.3904254,280.5196852,361.9957542,4.508295663,42.21571718,94.05271344,35.28868661,2342,
2004,Idleb,Idleb,1,4370.0,0,4370.0,21894.0,5010.06865,8474.0,21643.0,2554.047675,43537.0,0.125820372,2.188331063,1102.585467,32.06712398,133.1604544,1.441830046,29.96636028,396.7139838,1.0,349.4829207,579.1314183,12484.21588,1.0,18.66965742,28.00408697,17.33918873,5.897763851,16.82364932,0.591957344,0.120681925,3437.367181,7.363514149,87.8828617,100.2852302,96.06875003,493.5158649,201.4720497,378.6673336,0.928862474,24.86059375,99.08107844,24.08243728,2358,
2004,Idleb,Idleb,2,1057.0,0,1057.0,5773.0,5461.684011,7231.0,17246.0,2385.008989,23019.0,0.125820372,2.188331063,1102.585467,32.06712398,133.1604544,1.441830046,29.96636028,396.7139838,1.0,349.4829207,579.1314183,12484.21588,1.0,18.66965742,28.00408697,17.33918873,5.897763851,16.82364932,0.591957344,0.120681925,3437.367181,7.363514149,87.8828617,100.2852302,96.06875003,493.5158649,201.4720497,378.6673336,0.928862474,24.86059375,99.08107844,24.08243728,2358,
2004,Idleb,Idleb,3,1253.0,0,1253.0,6534.0,5214.684757,5412.0,12563.0,2321.322986,19097.0,0.125820372,2.188331063,1102.585467,32.06712398,133.1604544,1.441830046,29.96636028,396.7139838,1.0,349.4829207,579.1314183,12484.21588,1.0,18.66965742,28.00408697,17.33918873,5.897763851,16.82364932,0.591957344,0.120681925,3437.367181,7.363514149,87.8828617,100.2852302,96.06875003,493.5158649,201.4720497,378.6673336,0.928862474,24.86059375,99.08107844,24.08243728,2358,
2004,Idleb,Harim,1,647.0,0,647.0,3209.0,4959.814529,353.0,871.0,2467.422096,4080.0,0.076955511,1.744823344,1262.438648,37.61273307,208.4698796,1.397594182,27.2782689,356.5012631,1.0,400.6489695,547.1849605,12100.58401,1.0,91.8753057,27.51901264,16.80636669,5.719943248,16.3228571,0.497392113,0.080009999,3355.412962,7.125463716,95.81787612,93.33899435,108.7440432,570.9437331,243.3845318,396.2349649,3.52892128,34.93256475,96.03638107,7.104166667,2357,
2004,Idleb,Al_Ma'ra,1,741.0,0,741.0,4947.0,6676.11336,10494.0,28911.0,2755.002859,33858.0,0.219400577,2.789560748,981.1078451,28.88280248,161.5969773,1.44106543,30.50289991,387.8445436,1.0,426.7153644,495.1245461,12463.44268,1.0,29.05957912,27.99098124,17.31033705,5.735174544,14.58409446,0.563325132,0.121696039,3395.858203,7.422356298,85.92145674,103.6446441,93.40441828,435.9463525,211.8633148,395.4624714,1.089096217,21.8826255,98.91621171,2.740740741,2355,
